# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1353
#@/user_id	b984ef3a-97ec-45f9-89c8-d237fbe7ae79
a 	啊	c=8 d=0.908954 t=1353
que ren zhi ling 	確認指令	c=1 d=0.579842 t=1353
qun you 	羣友	c=1 d=1 t=1330
ran hou 	然後	c=2 d=0.267135 t=1353
ren 	人	c=1 d=0.024234 t=1353
ren wu 	任務	c=1 d=0.799 t=1353
ren wu ban 	任務板	c=1 d=0.634448 t=1353
ren wu ban 	任務辦	c=1 d=0.625002 t=1353
ren wu lan 	任務欄	c=2 d=1.42711 t=1353
ru guo 	如果	c=4 d=1.51295 t=1353
ruan jian 	軟件	c=2 d=0.519442 t=1353
se qing 	色情	c=1 d=0.0526021 t=1353
sha 	啥	c=1 d=0.111917 t=1353
sha bi 	傻逼	c=1 d=0.45612 t=1353
shan chu 	刪除	c=1 d=0.0441572 t=1353
shang 	上	c=4 d=0.686096 t=1353
shang ping 	上屏	c=1 d=0.831104 t=1353
shang xia 	上下	c=1 d=0.491644 t=1353
she zhi 	設置	c=3 d=0.19205 t=1353
shen me 	什麼	c=10 d=3.12633 t=1353
shi 	是	c=9 d=2.21779 t=1353
shi 	試	c=1 d=0.060205 t=1353
shi bu shi 	是不是	c=1 d=0.522046 t=1353
shi fou 	是否	c=1 d=0.313486 t=1353
shi guo 	試過	c=1 d=0.470011 t=1353
shi guo le 	是過了	c=1 d=0.0599047 t=1353
shi hou 	時候	c=1 d=0.187308 t=1353
shi ji 	實際	c=2 d=0.256064 t=1353
shi jian 	時間	c=1 d=0.0735345 t=1353
shi le 	試了	c=1 d=0.15259 t=1353
shi ni 	是你	c=1 d=0.126186 t=1353
shi sha 	是啥	c=2 d=0.75559 t=1353
shi shi 	試試	c=4 d=0.472407 t=1353
shi shi kan 	試試看	c=1 d=0.16696 t=1353
shi shuo 	時說	c=1 d=0.0867261 t=1353
shi wo de 	是我的	c=1 d=1 t=1321
shi xun 	實訓	c=0 d=0.00665368 t=1353
shi xun lou 	實訓樓	c=1 d=0.0668703 t=1353
shi yong 	使用	c=3 d=0.214886 t=1353
shi zai 	實在	c=1 d=0.164474 t=1353
shi zi 	十字	c=2 d=0.128838 t=1353
shou ci 	首次	c=1 d=0.529935 t=1353
shou dao 	收到	c=1 d=0.562705 t=1353
shou ji 	手機	c=3 d=0.565525 t=1353
shu 	書	c=1 d=0.29671 t=1353
shu fu 	舒服	c=0 d=0.0522046 t=1353
shu ju 	數據	c=16 d=2.79141 t=1353
shu ju hou 	數據後	c=1 d=0.427415 t=1353
shu qian 	書籤	c=2 d=0.0861382 t=1353
shu ru 	輸入	c=10 d=4.02688 t=1353
shu zhe 	豎着	c=1 d=0.400516 t=1353
shu zu 	數組	c=1 d=0.421052 t=1353
shuang 	爽	c=1 d=0.207008 t=1353
shuang ji 	雙擊	c=1 d=0.609571 t=1353
shuang shan 	雙閃	c=1 d=0.637628 t=1353
shun xu 	順序	c=2 d=0.304466 t=1353
shuo 	說	c=3 d=0.382893 t=1353
shuo gei 	說給	c=1 d=0.0387742 t=1353
si 	似	c=0 d=0.0045275 t=1353
si ren 	私人	c=1 d=0.621885 t=1353
suan le 	算了	c=1 d=0.158818 t=1353
sui ran 	雖然	c=1 d=0.0211736 t=1353
suo 	梭	c=0 d=0.0305746 t=1353
suo yi 	所以	c=1 d=0.13332 t=1353
ta 	他	c=1 d=0.0263839 t=1353
ta 	它	c=2 d=0.232097 t=1353
ta ma 	他媽	c=1 d=0.323064 t=1353
ta ma de 	他媽的	c=1 d=0.204037 t=1353
ta men 	他們	c=3 d=0.23576 t=1353
ta ren 	他人	c=1 d=0.201897 t=1353
tai 	太	c=2 d=0.496585 t=1353
tao 	逃	c=1 d=0.151829 t=1353
te xing 	特性	c=1 d=0.0332068 t=1353
tian jia 	添加	c=6 d=4.32248 t=1353
tiao guo 	跳過	c=1 d=0.064894 t=1353
ting 	挺	c=0 d=0.0522046 t=1353
ting shu fu de 	挺舒服的	c=1 d=0.524662 t=1353
ting zhi 	停止	c=2 d=0.64646 t=1353
tong guo 	通過	c=1 d=0.57695 t=1353
tong ming 	同名	c=1 d=0.0555762 t=1353
tou ming 	透明	c=4 d=0.229116 t=1353
tu pian 	圖片	c=2 d=1.07907 t=1353
tu ran 	突然	c=1 d=0.0466538 t=1353
tui jian 	推薦	c=1 d=0.628135 t=1353
tuo pan 	托盤	c=1 d=0.138761 t=1353
wan 	完	c=3 d=0.562246 t=1353
wan bi 	完畢	c=1 d=0.018043 t=1353
wan cheng 	完成	c=2 d=0.672769 t=1353
wan le 	完了	c=1 d=0.193013 t=1353
wan shang 	晚上	c=2 d=0.705784 t=1353
wang 	望	c=1 d=0.726149 t=1353
wang ji 	忘記	c=1 d=0.155673 t=1353
wang qian 	往前	c=1 d=0.0617291 t=1353
wang yi 	網易	c=0 d=0.0615697 t=1353
wang yi yun yin yue 	網易雲音樂	c=1 d=0.618783 t=1353
wang zhi 	網址	c=1 d=0.83527 t=1353
wei 	位	c=2 d=0.414783 t=1353
wei shen me 	爲什麼	c=3 d=1.40976 t=1353
wei xin 	微信	c=2 d=0.930044 t=1353
wei zhi 	位置	c=1 d=0.0769192 t=1353
wen 	問	c=1 d=0.0475963 t=1353
wen hao 	問號	c=2 d=0.103379 t=1353
wen jian 	文件	c=5 d=1.76285 t=1353
wen jian jia 	文件夾	c=1 d=0.128093 t=1353
wen ti 	問題	c=5 d=0.476824 t=1353
wen ting 	聞聽	c=2 d=0.7525 t=1353
wo 	我	c=26 d=5.71568 t=1353
wo de 	我的	c=4 d=1.80293 t=1353
wo de ci dian 	这是我的自定义词典	c=0 d=0 t=0
wo gan 	我淦	c=1 d=0.020141 t=1353
wo shi 	我是	c=2 d=0.0681804 t=1353
wo shuo 	我說	c=1 d=0.67368 t=1353
wo ta ma 	我他媽	c=8 d=1.84828 t=1353
wo zhe ge 	我這個	c=1 d=0.843665 t=1353
wo zhi dao 	我知道	c=1 d=0.172907 t=1353
wu 	吾	c=1 d=0.0160027 t=1353
wu 	物	c=1 d=0.657047 t=1353
wu fa 	無法	c=1 d=0.0397558 t=1353
xi huan 	喜歡	c=1 d=0.0212797 t=1353
xi mi 	西米	c=1 d=0.511709 t=1353
xia 	下	c=2 d=0.603505 t=1353
xia lai 	下來	c=1 d=0.66365 t=1353
xia mian 	下面	c=1 d=0.25924 t=1353
xia wu 	下午	c=1 d=0.0507928 t=1353
xia yi ci 	下一次	c=2 d=0.650455 t=1353
xian 	先	c=3 d=0.66034 t=1353
xian cheng 	現成	c=1 d=0.0223708 t=1353
xian cheng 	縣城	c=1 d=0.0222592 t=1353
xian ka 	顯卡	c=1 d=0.278037 t=1353
xian mu 	羨慕	c=0 d=0.0209088 t=1353
xian mu le 	羨慕了	c=1 d=0.210136 t=1353
xian shi 	顯示	c=2 d=0.444858 t=1353
xian zai 	現在	c=1 d=0.447959 t=1353
xian zai yong zhe 	現在用着	c=1 d=0.516851 t=1353
xiang 	想	c=2 d=0.467666 t=1353
xiang qi lai 	想起來	c=1 d=0.0468877 t=1353
xiang shang 	向上	c=1 d=0.326279 t=1353
xiang xiang 	想想	c=1 d=0.250323 t=1353
xiang zhe 	想着	c=1 d=0.055299 t=1353
xiao che 	小車	c=1 d=0.57695 t=1353
xiao guo 	效果	c=3 d=2.15135 t=1353
xiao lang hao 	小狼毫	c=3 d=1.23664 t=1353
xiao si 	笑死	c=1 d=0.353455 t=1353
xiao xi 	消息	c=2 d=0.449091 t=1353
xiao yu 	小於	c=1 d=0.40657 t=1353
xie 	寫	c=2 d=0.199228 t=1353
